time,speed,steering_angle,direction,ir_val
0.01,30,90,1,"[0, 1, 1, 0, 0]"
0.02,30,90,1,"[0, 1, 1, 0, 0]"
0.02,30,90,1,"[0, 1, 1, 0, 0]"
0.03,30,90,1,"[0, 1, 1, 0, 0]"
0.04,30,90,1,"[0, 1, 1, 0, 0]"
0.05,30,90,1,"[0, 1, 1, 0, 0]"
0.06,30,90,1,"[0, 1, 1, 0, 0]"
0.06,30,90,1,"[0, 1, 1, 0, 0]"
0.07,30,90,1,"[0, 1, 1, 0, 0]"
0.08,30,90,1,"[0, 1, 1, 0, 0]"
0.09,30,90,1,"[0, 0, 1, 0, 0]"
0.1,30,90,1,"[0, 0, 1, 0, 0]"
0.1,30,90,1,"[0, 0, 1, 0, 0]"
0.11,30,90,1,"[0, 1, 1, 0, 0]"
0.12,30,90,1,"[0, 1, 1, 0, 0]"
0.13,30,90,1,"[0, 1, 1, 0, 0]"
0.14,30,90,1,"[0, 1, 1, 0, 0]"
0.14,30,90,1,"[0, 0, 1, 0, 0]"
0.15,30,90,1,"[0, 0, 1, 0, 0]"
0.16,30,90,1,"[0, 0, 1, 0, 0]"
0.17,30,90,1,"[0, 0, 1, 0, 0]"
0.18,30,90,1,"[0, 0, 1, 0, 0]"
0.18,30,90,1,"[0, 0, 1, 0, 0]"
0.19,30,90,1,"[0, 0, 1, 0, 0]"
0.2,30,90,1,"[0, 0, 1, 0, 0]"
0.21,30,90,1,"[0, 0, 1, 0, 0]"
0.22,30,90,1,"[0, 0, 1, 0, 0]"
0.22,30,90,1,"[0, 0, 1, 0, 0]"
0.23,30,90,1,"[0, 0, 1, 0, 0]"
0.24,30,90,1,"[0, 0, 1, 0, 0]"
0.25,30,90,1,"[0, 0, 1, 0, 0]"
0.26,30,90,1,"[0, 0, 1, 0, 0]"
0.26,30,90,1,"[0, 0, 1, 0, 0]"
0.27,30,90,1,"[0, 0, 1, 0, 0]"
0.28,30,90,1,"[0, 0, 1, 0, 0]"
0.29,30,90,1,"[0, 0, 1, 0, 0]"
0.29,30,90,1,"[0, 0, 1, 0, 0]"
0.3,30,90,1,"[0, 0, 1, 0, 0]"
0.31,30,90,1,"[0, 0, 1, 0, 0]"
0.32,30,90,1,"[0, 0, 1, 0, 0]"
0.33,30,90,1,"[0, 0, 1, 0, 0]"
0.33,30,90,1,"[0, 0, 1, 0, 0]"
0.34,30,90,1,"[0, 0, 1, 0, 0]"
0.35,30,90,1,"[0, 0, 1, 0, 0]"
0.36,30,90,1,"[0, 0, 1, 0, 0]"
0.37,30,90,1,"[0, 0, 1, 0, 0]"
0.37,30,90,1,"[0, 0, 1, 0, 0]"
0.38,30,90,1,"[0, 0, 1, 0, 0]"
0.39,30,90,1,"[0, 0, 1, 0, 0]"
0.4,30,90,1,"[0, 0, 1, 0, 0]"
0.41,30,90,1,"[0, 0, 1, 0, 0]"
0.41,30,90,1,"[0, 0, 1, 0, 0]"
0.42,30,90,1,"[0, 0, 1, 0, 0]"
0.43,30,90,1,"[0, 0, 1, 0, 0]"
0.44,30,90,1,"[0, 0, 1, 0, 0]"
0.45,30,90,1,"[0, 0, 1, 0, 0]"
0.45,30,90,1,"[0, 0, 1, 0, 0]"
0.46,30,90,1,"[0, 0, 1, 0, 0]"
0.47,30,90,1,"[0, 0, 1, 0, 0]"
0.48,30,90,1,"[0, 0, 1, 0, 0]"
0.49,30,90,1,"[0, 0, 1, 0, 0]"
0.49,30,90,1,"[0, 0, 1, 0, 0]"
0.5,30,90,1,"[0, 0, 1, 0, 0]"
0.51,30,90,1,"[0, 0, 1, 0, 0]"
0.52,30,90,1,"[0, 0, 1, 0, 0]"
0.53,30,90,1,"[0, 0, 1, 0, 0]"
0.53,30,90,1,"[0, 0, 1, 0, 0]"
0.54,30,90,1,"[0, 0, 1, 0, 0]"
0.55,30,90,1,"[0, 0, 1, 0, 0]"
0.56,30,90,1,"[0, 0, 1, 0, 0]"
0.57,30,90,1,"[0, 0, 1, 0, 0]"
0.58,30,90,1,"[0, 0, 1, 0, 0]"
0.59,30,90,1,"[0, 0, 1, 0, 0]"
0.6,30,90,1,"[0, 0, 1, 0, 0]"
0.61,30,90,1,"[0, 0, 1, 0, 0]"
0.61,30,90,1,"[0, 0, 1, 0, 0]"
0.62,30,90,1,"[0, 0, 1, 0, 0]"
0.63,30,90,1,"[0, 0, 1, 0, 0]"
0.64,30,90,1,"[0, 0, 1, 0, 0]"
0.65,30,90,1,"[0, 0, 1, 0, 0]"
0.66,30,90,1,"[0, 0, 1, 0, 0]"
0.67,30,90,1,"[0, 0, 1, 0, 0]"
0.68,30,90,1,"[0, 0, 1, 0, 0]"
0.68,30,90,1,"[0, 0, 1, 0, 0]"
0.69,30,90,1,"[0, 0, 1, 0, 0]"
0.7,30,90,1,"[0, 0, 1, 0, 0]"
0.71,30,90,1,"[0, 0, 1, 0, 0]"
0.72,30,90,1,"[0, 0, 1, 0, 0]"
0.72,30,90,1,"[0, 0, 1, 0, 0]"
0.73,30,90,1,"[0, 0, 1, 0, 0]"
0.74,30,90,1,"[0, 0, 1, 0, 0]"
0.75,30,90,1,"[0, 0, 1, 0, 0]"
0.76,30,90,1,"[0, 0, 1, 0, 0]"
0.76,30,90,1,"[0, 0, 1, 0, 0]"
0.77,30,90,1,"[0, 0, 1, 0, 0]"
0.78,30,90,1,"[0, 0, 1, 0, 0]"
0.79,30,90,1,"[0, 0, 1, 0, 0]"
0.8,30,90,1,"[0, 0, 1, 0, 0]"
0.8,30,90,1,"[0, 0, 1, 0, 0]"
0.81,30,90,1,"[0, 0, 1, 0, 0]"
0.82,30,90,1,"[0, 0, 1, 0, 0]"
0.83,30,90,1,"[0, 0, 1, 0, 0]"
0.84,30,90,1,"[0, 0, 1, 0, 0]"
0.84,30,90,1,"[0, 0, 1, 0, 0]"
0.85,30,90,1,"[0, 0, 1, 0, 0]"
0.86,30,90,1,"[0, 0, 1, 0, 0]"
0.87,30,90,1,"[0, 0, 1, 0, 0]"
0.87,30,90,1,"[0, 0, 1, 0, 0]"
0.88,30,90,1,"[0, 0, 1, 0, 0]"
0.89,30,90,1,"[0, 0, 1, 0, 0]"
0.9,30,90,1,"[0, 0, 1, 0, 0]"
0.91,30,90,1,"[0, 0, 1, 0, 0]"
0.93,30,90,1,"[0, 0, 1, 0, 0]"
0.95,30,90,1,"[0, 0, 1, 0, 0]"
0.96,30,90,1,"[0, 0, 1, 0, 0]"
0.98,30,90,1,"[0, 0, 1, 0, 0]"
1.0,30,90,1,"[0, 0, 1, 0, 0]"
1.01,30,90,1,"[0, 0, 1, 0, 0]"
1.03,30,90,1,"[0, 0, 1, 0, 0]"
1.04,30,90,1,"[0, 0, 1, 0, 0]"
1.06,30,90,1,"[0, 0, 1, 0, 0]"
1.07,30,90,1,"[0, 0, 1, 0, 0]"
1.09,30,90,1,"[0, 0, 1, 0, 0]"
1.1,30,90,1,"[0, 0, 1, 0, 0]"
1.12,30,90,1,"[0, 0, 1, 0, 0]"
1.14,30,90,1,"[0, 0, 1, 0, 0]"
1.15,30,90,1,"[0, 0, 1, 0, 0]"
1.17,30,90,1,"[0, 0, 1, 0, 0]"
1.19,30,90,1,"[0, 0, 1, 0, 0]"
1.2,30,90,1,"[0, 0, 1, 0, 0]"
1.22,30,90,1,"[0, 0, 1, 0, 0]"
1.24,30,90,1,"[0, 0, 1, 0, 0]"
1.25,30,90,1,"[0, 0, 1, 0, 0]"
1.27,30,90,1,"[0, 0, 1, 0, 0]"
1.29,30,90,1,"[0, 0, 1, 0, 0]"
1.3,30,90,1,"[0, 0, 1, 0, 0]"
1.32,30,90,1,"[0, 0, 1, 0, 0]"
1.34,30,90,1,"[0, 0, 1, 0, 0]"
1.35,30,90,1,"[0, 0, 1, 0, 0]"
1.37,30,90,1,"[0, 0, 1, 0, 0]"
1.39,30,90,1,"[0, 0, 1, 0, 0]"
1.41,30,90,1,"[0, 0, 1, 0, 0]"
1.42,30,90,1,"[0, 0, 1, 0, 0]"
1.44,30,90,1,"[0, 0, 1, 0, 0]"
1.46,30,90,1,"[0, 0, 1, 0, 0]"
1.48,30,90,1,"[0, 0, 1, 0, 0]"
1.49,30,90,1,"[0, 0, 1, 0, 0]"
1.51,30,90,1,"[0, 0, 1, 0, 0]"
1.52,30,90,1,"[0, 0, 1, 0, 0]"
1.53,30,90,1,"[0, 0, 1, 0, 0]"
1.54,30,90,1,"[0, 0, 1, 0, 0]"
1.54,30,90,1,"[0, 0, 1, 0, 0]"
1.55,30,90,1,"[0, 0, 1, 0, 0]"
1.56,30,90,1,"[0, 0, 1, 0, 0]"
1.57,30,90,1,"[0, 0, 1, 0, 0]"
1.58,30,90,1,"[0, 0, 1, 0, 0]"
1.59,30,90,1,"[0, 0, 1, 0, 0]"
1.59,30,90,1,"[0, 0, 1, 0, 0]"
1.6,30,90,1,"[0, 0, 1, 0, 0]"
1.61,30,90,1,"[0, 0, 1, 0, 0]"
1.62,30,90,1,"[0, 0, 1, 0, 0]"
1.63,30,90,1,"[0, 0, 1, 0, 0]"
1.64,30,90,1,"[0, 0, 1, 0, 0]"
1.65,30,90,1,"[0, 0, 1, 0, 0]"
1.65,30,90,1,"[0, 0, 1, 0, 0]"
1.66,30,90,1,"[0, 0, 1, 0, 0]"
1.67,30,90,1,"[0, 0, 1, 0, 0]"
1.68,30,90,1,"[0, 0, 1, 0, 0]"
1.69,30,90,1,"[0, 0, 1, 0, 0]"
